# N2 enrichment batch 10 (901~1000)
着々	ちゅくちゃく	착착, 순조롭게	부사	着(붙을 착) → 차곡차곡	計画は着々と進んでいる。	계획은 차근차근 진행되고 있다.	準備が着々と整っている。	준비가 착착 진행되고 있다.
薄める	うすめる	희석하다, 묽게 하다	동사	薄(엷을 박)	味噌汁を水で薄めた。	된장국을 물로 묽게 했다.	色を薄めて使う。	색을 엷게 해서 사용한다.
充実	じゅうじつ	충실	명사	充 + 実	内容が充実している。	내용이 충실하다.	毎日が充実した日々だ。	매일이 충실한 나날이다.
鮮明	せんめい	선명	명사	鮮 + 明	鮮明な記憶が残っている。	선명한 기억이 남아 있다.	鮮明な画像で見える。	선명한 화상으로 보인다.
ふもと	ふもと	(산)기슭	명사	관용 명사	富士山のふもとで休んだ。	후지산 기슭에서 쉬었다.	山のふもとに村がある。	산기슭에 마을이 있다.
定年	ていねん	정년	명사	定 + 年	定年退職を迎えた。	정년 퇴직을 맞이했다.	定年後の生活を考える。	정년 후의 생활을 생각한다.
～におうじて	～におうじて	~에 맞추어, ~에 대응하여	문법		ニーズに応じて商品を提供する。	니즈에 맞추어 상품을 제공한다.	状況に応じて対応を変える。	상황에 따라 대응을 바꾼다.
～途中で	～とちゅうで	~도중에	문법		帰宅途中で雨に降られた。	귀가 도중에 비를 맞았다.	会議の途中で電話が鳴った。	회의 도중에 전화가 울렸다.
～にわたって	～にわたって	~에 걸쳐서	문법		長期間にわたって調査した。	장기간에 걸쳐 조사했다.	全国にわたって講演を行う。	전국에 걸쳐 강연을 한다.
何も～	なにも	굳이~	문법		何もそんなに怒ることはない。	굳이 그렇게 화낼 필요는 없다.	何も急ぐことはない。	굳이 서두를 필요는 없다.
～一方だ	～いっぽうだ	~하기만 하다	문법		物価は上がる一方だ。	물가는 오르기만 한다.	不安が増える一方だ。	불안이 늘어가기만 한다.
～がたい	～がたい	~하기 어렵다	문법		信じがたい話を聞いた。	믿기 어려운 이야기를 들었다.	忘れがたい思い出だ。	잊기 어려운 추억이다.
～(さ)せていただく	～させていただく	~하다 <겸양>	문법		明日休ませていただきます。	내일 쉬도록 하겠습니다.	発表させていただきます。	발표하도록 하겠습니다.
～(さ)れる	～される	본의 아니게 ~하게 되다 <사역 수동>	문법		上司に残業させられた。	상사에게 잔업하게 됐다.	先生に発表させられた。	선생님에게 발표하게 됐다.
～たところ	～たところ	~했더니	문법		聞いてみたところ、彼も知らなかった。	물어봤더니 그도 몰랐다.	調べたところ、問題が見つかった。	조사했더니 문제가 발견됐다.
～にすぎないとはいえ	～にすぎないとはいえ	~에 지나지 않는다고는 해도	문법		噂にすぎないとはいえ気になる。	소문에 지나지 않는다고는 해도 신경 쓰인다.	冗談にすぎないとはいえ失礼だ。	농담에 지나지 않는다고는 해도 실례다.
～はずだ	～はずだ	틀림없이 ~일 것이다	문법		彼は来るはずだ。	그는 올 것이다.	答えはここに書いてあるはずだ。	답은 여기 적혀 있을 것이다.
～ままで	～ままで	~대로, ~인 채로	문법		着替えないままで寝てしまった。	갈아입지 않은 채로 자 버렸다.	そのままでいてください。	그대로 있어 주세요.
～上で	～うえで	~한 후에	문법		よく考えた上で決めた。	잘 생각한 후 결정했다.	検討の上で返答します。	검토한 후에 답변하겠습니다.
