# N2 enrichment batch 4 (301~400)
応援団	おうえんだん	응원단	명사	応援(응원) + 団(모일 단)	学校の応援団が試合で大活躍した。	학교 응원단이 시합에서 크게 활약했다.	応援団の声が会場に響いた。	응원단의 목소리가 회장에 울렸다.
無責任	むせきにん	무책임	명사	無(없을 무) + 責任(책임)	そんな無責任な発言はやめてほしい。	그런 무책임한 발언은 그만뒀으면 한다.	彼の無責任な態度に呆れた。	그의 무책임한 태도에 어이가 없었다.
悪影響	あくえいきょう	악영향	명사	悪(악할 악) + 影響(영향)	睡眠不足は健康に悪影響を与える。	수면 부족은 건강에 악영향을 준다.	悪影響を最小限に抑えたい。	악영향을 최소화하고 싶다.
子供連れ	こどもづれ	자녀 동반	명사	子供(아이) + 連れ(동반)	子供連れで旅行を楽しんだ。	아이를 동반하고 여행을 즐겼다.	子供連れの家族で混雑している。	자녀 동반 가족으로 붐빈다.
成功率	せいこうりつ	성공률	명사	成功(성공) + 率(비율)	この手術の成功率は高い。	이 수술의 성공률은 높다.	成功率を上げる工夫が必要だ。	성공률을 높이는 궁리가 필요하다.
招待状	しょうたいじょう	초대장	명사	招待(초대) + 状(편지 장)	結婚式の招待状が届いた。	결혼식 초대장이 도착했다.	招待状を発送する準備をした。	초대장을 발송할 준비를 했다.
現実離れ	げんじつばなれ	현실을 벗어남	명사	現実(현실) + 離れ(떨어짐)	彼の発言は現実離れしている。	그의 발언은 현실과 동떨어져 있다.	現実離れした夢を語る。	현실과 동떨어진 꿈을 말한다.
真新しい	まあたらしい	완전히 새롭다	い형용사	真(참 진) + 新しい(새롭다)	真新しい靴を履いて出かけた。	완전히 새 구두를 신고 외출했다.	真新しい本のにおいが好きだ。	갓 나온 책 냄새를 좋아한다.
ヨーロッパ風	ヨーロッパふう	유럽풍	명사	ヨーロッパ + 風	ヨーロッパ風のカフェに行った。	유럽풍 카페에 갔다.	ヨーロッパ風のデザインが流行している。	유럽풍 디자인이 유행하고 있다.
異文化	いぶんか	이문화	명사	異(다를 이) + 文化(문화)	異文化交流の機会が増えた。	이문화 교류의 기회가 늘었다.	異文化を理解することが大事だ。	이문화를 이해하는 것이 중요하다.
結婚観	けっこんかん	결혼관	명사	結婚(결혼) + 観(볼 관)	最近の若者の結婚観は変化している。	최근 젊은이들의 결혼관은 변화하고 있다.	彼女の結婚観に共感した。	그녀의 결혼관에 공감했다.
年代順	ねんだいじゅん	연대순	명사	年代(연대) + 順(차례)	写真を年代順に並べた。	사진을 연대순으로 정렬했다.	資料は年代順に整理されている。	자료는 연대순으로 정리되어 있다.
高水準	こうすいじゅん	고수준	명사	高 + 水準(수준)	高水準の教育を受ける。	고수준의 교육을 받는다.	高水準のサービスを提供する。	고수준의 서비스를 제공한다.
管理下	かんりか	관리하	명사	管理(관리) + 下(아래)	プロジェクトは私の管理下にある。	프로젝트는 내 관리하에 있다.	厳しい管理下に置かれている。	엄격한 관리하에 놓여 있다.
