# N2 enrichment batch 8 (701~800)
用心する	ようじんする	조심하다	동사	用心 + する	夜道では用心する。	밤길에서는 조심한다.	火の取り扱いに用心する。	불을 다룰 때 조심한다.
気をつける	きをつける	조심하다	관용구	気 + つける	転ばないように気をつけて。	넘어지지 않게 조심해.	健康に気をつけている。	건강에 신경 쓰고 있다.
	くどい	장황하다, 집요하다	い형용사	관용 형용사	彼の話はくどい。	그의 이야기는 장황하다.	くどい味付けは苦手だ。	진한 맛은 잘 못 먹는다.
	しつこい	집요하다, 끈질기다	い형용사	관용 형용사	しつこい質問にうんざりした。	집요한 질문에 질렸다.	しつこく勧誘された。	끈질기게 권유받았다.
物騒になる	ぶっそうになる	위험해지다	관용구	物騒 + なる	最近、街が物騒になった。	최근 거리가 위험해졌다.	夜は一人歩きが物騒になっている。	밤에는 혼자 걷는 것이 위험해지고 있다.
安全じゃなくなる	あんぜんじゃなくなる	안전하지 않게 되다	관용구	安全 + じゃなくなる	事故が増えて安全じゃなくなった。	사고가 늘어 안전하지 않게 되었다.	環境が変わって安全じゃなくなる。	환경이 바뀌어 안전하지 않게 된다.
落ち込む	おちこむ	낙담하다, 악화되다	동사	落ち + 込む	試験に失敗して落ち込んだ。	시험에 실패해 낙담했다.	売上が落ち込む。	매출이 떨어진다.
	がっかりする	실망하다, 낙담하다	동사	관용 동사	結果にがっかりした。	결과에 실망했다.	彼の態度にがっかりした。	그의 태도에 실망했다.
精いっぱい	せいいっぱい	힘껏	부사	精 + 一杯	精いっぱい頑張った。	힘껏 노력했다.	精いっぱいの努力をした。	힘껏 노력했다.
一生懸命	いっしょうけんめい	열심히	부사	一生 + 懸命	一生懸命勉強する。	열심히 공부한다.	彼は一生懸命働く。	그는 열심히 일한다.
同情する	どうじょうする	동정하다	동사	同 + 情	不幸な話に同情した。	불행한 이야기에 동정했다.	彼の境遇に同情する。	그의 처지에 동정한다.
かわいそうだと思う	かわいそうだとおもう	불쌍하게 생각하다	관용구	かわいそう + 思う	子供をかわいそうだと思った。	아이를 불쌍하게 생각했다.	見捨てられた犬をかわいそうだと思う。	버려진 개를 불쌍하게 생각한다.
定める	さだめる	정하다, 결정하다	동사	定(정할 정)	規則を定めた。	규칙을 정했다.	方針を定める必要がある。	방침을 정할 필요가 있다.
決める	きめる	정하다, 결정하다	동사	決(결단할 결)	進路を決めた。	진로를 결정했다.	旅行先を決める。	여행지를 결정한다.
ハードな	ハードな	엄격한, 고된	な형용사	외래어 (hard)	ハードな練習が続いた。	고된 연습이 이어졌다.	ハードなスケジュールをこなす。	고된 스케줄을 소화한다.
大変な	たいへんな	힘든	な형용사	大 + 変	大変な仕事を任された。	힘든 일을 맡았다.	大変な思いをして合格した。	힘든 노력 끝에 합격했다.
動揺する	どうようする	동요하다	동사	動 + 揺	突然のニュースに動揺した。	갑작스러운 뉴스에 동요했다.	彼は動揺した様子だ。	그는 동요한 모습이다.
不安になる	ふあんになる	불안해지다	관용구	不安 + なる	試験前は不安になる。	시험 전에는 불안해진다.	将来が不安になる。	미래가 불안해진다.
引き返す	ひきかえす	되돌아가다, 되돌아오다	동사	引き + 返す	忘れ物に気付いて引き返した。	물건을 잊은 걸 알고 되돌아갔다.	途中で引き返すことになった。	도중에 되돌아오게 되었다.
戻る	もどる	되돌아가다, 되돌아오다	동사	戻(돌아올 려)	出発点に戻った。	출발점으로 돌아왔다.	元の場所に戻る。	원래 장소로 돌아간다.
一層	いっそう	한층 더, 더욱더	부사	一 + 層	一層努力したい。	한층 더 노력하고 싶다.	彼は一層成長した。	그는 한층 더 성장했다.
	もっと	더, 더욱	부사	관용 부사	もっと頑張ろう。	더 노력하자.	もっと早く起きるべきだ。	더 일찍 일어나야 한다.
	かかりつけ	단골	명사	관용 명사	かかりつけの病院がある。	단골 병원이 있다.	かかりつけの医者に相談した。	단골 의사에게 상담했다.
いつも行く	いつもいく	늘 가다	관용구	いつも + 行く	いつも行くカフェだ。	늘 가는 카페다.	いつも行く店が閉まっていた。	늘 가는 가게가 닫혀 있었다.
	ガイド	가이드, 안내	명사	외래어 (guide)	旅行のガイドを頼んだ。	여행 가이드를 부탁했다.	ガイドが詳しく説明した。	가이드가 자세히 설명했다.
案内	あんない	안내	명사	案 + 内	駅員が道案内をしてくれた。	역무원이 길 안내를 해 주었다.	会場の案内を読んだ。	회장 안내를 읽었다.
真剣に	しんけんに	진지하게	부사	真 + 剣	真剣に取り組む。	진지하게 임한다.	真剣に話し合った。	진지하게 의논했다.
	まじめに	진지하게, 성실하게	부사	관용 부사	まじめに勉強している。	성실하게 공부하고 있다.	まじめに考えてほしい。	진지하게 생각해 줬으면 한다.
	あまりいない	별로 없다	관용구	あまり + いない	そういう人はあまりいない。	그런 사람은 별로 없다.	平日の昼間はあまりいない。	평일 낮에는 별로 없다.
終日	しゅうじつ	종일	명사	終 + 日	終日雨が降った。	종일 비가 내렸다.	終日会議があった。	종일 회의가 있었다.
一日中	いちにちじゅう	하루 종일	부사	一日 + 中	一日中外で過ごした。	하루 종일 밖에서 보냈다.	一日中働いて疲れた。	하루 종일 일해서 피곤하다.
