# N2 enrichment batch 12 (1101~1256)
	どうしても	무슨 일이 있어도, 꼭	부사	관용 부사	どうしても今日終わらせたい。	무슨 일이 있어도 오늘 끝내고 싶다.	どうしても会いたい人がいる。	꼭 만나고 싶은 사람이 있다.
～だろうか	～だろうか	~일까?	문법		これでよいのだろうか。	이것으로 좋을까?	彼は来るのだろうか。	그는 올까?
～末(に)	～すえに	~한 끝에	문법		長い議論の末に決定した。	긴 논의 끝에 결정했다.	苦労の末に成功した。	고생 끝에 성공했다.
～たことにする	～たことにする	~한 것으로 치다	문법		今日のことは見なかったことにする。	오늘 일은 못 본 걸로 한다.	何も聞かなかったことにしよう。	아무것도 못 들은 걸로 하자.
～だろう	～だろう	~일 것이다	문법		明日は晴れるだろう。	내일은 맑을 것이다.	彼は来るだろう。	그는 올 것이다.
～に備えて	～にそなえて	~에 대비하여	문법		地震に備えて準備する。	지진에 대비해 준비한다.	老後に備えて貯金する。	노후에 대비해 저축한다.
～もあれば	～もあれば	~정도만 있다면	문법		時間もあれば手伝う。	시간만 있다면 도울 텐데.	お金もあれば旅行に行ける。	돈만 있다면 여행 갈 수 있다.
お/ご～くださる	おごくださる	~해 주시다 〈존경〉	문법		お電話くださってありがとうございます。	전화 주셔서 감사합니다.	ご連絡くださり助かります。	연락 주셔서 도움이 되었습니다.
～に決まっている	～にきまっている	반드시 ~하게 되어 있다, 틀림없이 ~하다	문법		彼は来るに決まっている。	그는 올 게 뻔하다.	成功するに決まっている。	반드시 성공한다.
～ようにしておく	～ようにしておく	~하도록 해 두다	문법		事前に確認するようにしておく。	사전에 확인하도록 해 둔다.	早く帰れるようにしておく。	일찍 돌아갈 수 있게 해 둔다.
～に違いない	～にちがいない	~에 틀림없다	문법		彼は嘘をついているに違いない。	그는 거짓말을 하고 있음에 틀림없다.	成功するに違いない。	성공할 게 틀림없다.
～てよかった	～てよかった	~해서 다행이다	문법		参加できてよかった。	참가할 수 있어서 다행이다.	会えてよかった。	만날 수 있어서 다행이다.
～ぶりに	～ぶりに	~만에	문법		十年ぶりに会った。	10년 만에 만났다.	久しぶりに帰省した。	오랜만에 귀성했다.
～こそ	～こそ	~야말로	문법		今日こそ頑張る。	오늘이야말로 노력한다.	君こそ友達だ。	너야말로 친구다.
～ところから	～ところから	~때문에	문법		彼は早起きするところから一日が始まる。	그는 일찍 일어나는 데서 하루가 시작된다.	寒いところから外出を控える。	춥기 때문에 외출을 자제한다.
	あとは	이제는, 남은 일은	관용	관용 표현	あとは結果を待つだけだ。	이제는 결과를 기다릴 뿐이다.	あとは君次第だ。	이제는 너에게 달려 있다.
～場合でも	～ばあいでも	~한 경우라도	문법		失敗した場合でも責任を取る。	실패한 경우라도 책임을 진다.	無理な場合でも連絡する。	무리한 경우라도 연락한다.
～ようでいて	～ようでいて	~한 것 같지만	문법		簡単なようでいて難しい。	간단한 것 같지만 어렵다.	冷たいようでいて優しい人だ。	차가운 듯 다정한 사람이다.
～てしまわないか	～てしまわないか	~해 버리지 않을까	문법		忘れてしまわないかと心配だ。	잊어 버리지 않을까 걱정이다.	遅れてしまわないか不安だ。	늦어 버리지 않을까 불안하다.
～つもりだっだ	～つもりだっだ	~할 생각이었다	문법		すぐ帰るつもりだった。	곧 돌아갈 생각이었다.	参加するつもりだった。	참가할 생각이었다.
