# N2 enrichment batch 13 (1257~1356)
	この	이	연체사	지시사	この本は面白い。	이 책은 재미있다.	この方法を試してみよう。	이 방법을 시도해 보자.
	このように	이처럼	부사	관용 표현	このように考えると分かりやすい。	이처럼 생각하면 이해하기 쉽다.	このように手順を進める。	이처럼 절차를 진행한다.
～ましょう	～ましょう	~합시다	문법		一緒に行きましょう。	같이 갑시다.	始めましょう。	시작합시다.
～が～だ	～がだ	~이(가) ~이다	문법		君が君だ、私が私だ。	너는 너고 나는 나다.	時代が時代だ。	시대가 시대다.
～たらどうですか	～たらどうですか	~하는 게 어떨까요?	문법		休んだらどうですか。	쉬는 게 어떨까요?	相談したらどうですか。	상담해 보는 게 어떨까요?
	どのように	어떻게, 어떤 식으로	부사	관용 표현	どのように使うのですか。	어떻게 사용합니까?	どのように対応しますか。	어떤 식으로 대응합니까?
	ほかに	그 밖에	부사	관용 부사	ほかに何かありますか。	그 밖에 뭔가 있습니까?	ほかに必要なものは。	그 밖에 필요한 것은?
	こう	이렇게	부사	지시 부사	こうしてみよう。	이렇게 해 보자.	こう言ってください。	이렇게 말해 주세요.
彼女たち	かのじょたち	그녀들	명사	彼女 + たち	彼女たちは仲が良い。	그녀들은 사이가 좋다.	彼女たちが集まっている。	그녀들이 모여 있다.
	さまざまだ	다양하다	な형용사	관용 형용사	人の意見はさまざまだ。	사람의 의견은 다양하다.	趣味はさまざまだ。	취미는 다양하다.
	このような	이러한	연체사	지시사	このような場面でどうする？	이러한 상황에서 어떻게 할까?	このような問題は珍しい。	이러한 문제는 드물다.
	つまり	즉	접속사	관용 접속사	つまり、賛成ということだ。	즉, 찬성이라는 것이다.	つまり彼は来ない。	즉 그는 안 온다.
	たとえば	예를 들면	접속사	관용 접속사	たとえば、リンゴのような果物。	예를 들면 사과 같은 과일.	たとえば早起きする習慣。	예를 들면 일찍 일어나는 습관.
	もちろん	물론	부사	관용 부사	もちろん賛成だ。	물론 찬성이다.	もちろん参加します。	물론 참가합니다.
場合	ばあい	경우	명사	場 + 合	雨の場合は中止だ。	비가 올 경우는 중지다.	急な場合は連絡してください。	급한 경우는 연락해 주세요.
～というわけだ	～というわけだ	~인 것이다	문법		つまり成功というわけだ。	즉 성공이라는 것이다.	彼は休むというわけだ。	그는 쉰다는 것이다.
～のである	～のである	~인 것이다	문법		努力が必要なのである。	노력이 필요한 것이다.	彼は嘘をついたのである。	그는 거짓말을 한 것이다.
実は	じつは	실은	부사	実 + は	実は彼が来た。	실은 그가 왔다.	実は秘密がある。	실은 비밀이 있다.
～とされる	～とされる	~라고 되다, ~라고 여겨지다	문법		彼は天才とされる。	그는 천재로 여겨진다.	伝統的とされる行事だ。	전통적이라 여겨지는 행사다.
お～いただけますか	おいただけますか	~하실 수 있겠습니까? <겸손>	문법		お電話いただけますか。	전화 주실 수 있겠습니까?	お時間いただけますか。	시간 내 주실 수 있겠습니까?
	そうでもない	그렇지도 않다	관용	관용 표현	忙しいかと聞かれたがそうでもない。	바쁘냐고 물었는데 그렇지도 않다.	難しそうだがそうでもない。	어려워 보이지만 그렇지도 않다.
～とは思えない	～とはおもえない	~라고는 생각되지 않는다	문법		本当だとは思えない。	정말이라고는 생각되지 않는다.	彼が来るとは思えない。	그가 올 거라고는 생각되지 않는다.
理由	りゆう	이유	명사	理 + 由	遅刻の理由を聞いた。	지각 이유를 들었다.	断る理由がない。	거절할 이유가 없다.
だが～	だが	그렇지만~	접속사	관용 접속사	だが、結局は失敗した。	그렇지만 결국은 실패했다.	だが、希望はある。	그렇지만 희망은 있다.
出会う	であう	만나다	동사	出 + 会	旅先で素敵な人に出会った。	여행지에서 멋진 사람을 만났다.	偶然出会った友人だ。	우연히 만난 친구다.
	ある	어느	연체사	관용	ある日、彼が来た。	어느 날 그가 왔다.	ある町で起きた事件。	어느 마을에서 일어난 사건.
～と言える	～といえる	~라고 말할 수 있다	문법		これは成功と言える。	이것은 성공이라고 할 수 있다.	彼は努力家と言える。	그는 노력가라고 할 수 있다.
～とはいえ	～とはいえ	~라고는 해도	문법		簡単とはいえ油断はできない。	간단하다고는 해도 방심할 수 없다.	忙しいとはいえ時間は作れる。	바쁘다고는 해도 시간은 낼 수 있다.
～(よ)うと思う	～(よ)うとおもう	~하려고 생각하다	문법		明日行こうと思う。	내일 가려고 생각한다.	新しいことを始めようと思う。	새로운 것을 시작하려고 생각한다.
	その	그	연체사	지시사	その本を貸してください。	그 책을 빌려 주세요.	その方法は良い。	그 방법은 좋다.
～といい	～といい	~하면 좋다	문법		早く来るといい。	일찍 오면 좋다.	試してみるといい。	시도해 보면 좋다.
使用されている	しようされている	사용되고 있다	관용구	使用 + される	この技術が広く使用されている。	이 기술이 널리 사용되고 있다.	伝統的な方法が今も使用されている。	전통적인 방법이 지금도 사용되고 있다.
	どのような	어떠한	연체사	지시사	どのような問題ですか。	어떤 문제입니까?	どのような対応をしますか。	어떠한 대응을 합니까?
～という(との)ことだ	～というとのことだ	~라고 한다	문법		彼は休むということだ。	그는 쉰다고 한다.	会議は中止とのことだ。	회의는 중지라고 한다.
要するに	ようするに	요컨대	부사	要 + する	要するに賛成だ。	요컨대 찬성이다.	要するに彼が悪い。	요컨대 그가 잘못이다.
	どの	어느	연체사	지시사	どの本がいいですか。	어느 책이 좋습니까?	どの方法を選ぶ。	어느 방법을 고르나.
～ようだ	～ようだ	~인 것 같다	문법		雨が降るようだ。	비가 올 것 같다.	彼は疲れているようだ。	그는 피곤한 것 같다.
～ではないか	～ではないか	~가 아닐까?	문법		それで十分ではないか。	그것으로 충분하지 않을까?	彼が来るのではないか。	그가 오는 것 아닐까?
